"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",2010-12-31,104.364723,100.63932734,213000,3412.50290123024,356144.920023591,143144.920023591
"SPY",2011-01-31,106.796448,103.65030622,214000,3421.86650852924,365443.188641085,151443.188641085
"SPY",2011-02-28,110.506264,107.19227558,215000,3430.91576930237,379137.683764291,164137.683764291
"SPY",2011-03-31,110.519524,108.80385012,216000,3439.96394435604,380183.177707392,164183.177707392
"SPY",2011-04-29,113.720352,109.78271848,217000,3448.75744510074,392193.910619477,175193.910619477
"SPY",2011-05-31,112.445023,111.0033312,218000,3457.65067997517,388795.610235774,170795.610235774
"SPY",2011-06-30,110.548096,110.06887504,219000,3466.69651645887,383236.699304361,164236.699304361
"SPY",2011-07-29,108.336632,109.59919012,220000,3475.92700462838,376570.224759287,156570.224759287
"SPY",2011-08-31,102.380775,105.34161504,221000,3485.69446341153,356868.100577282,135868.100577282
"SPY",2011-09-30,95.273422,100.5205971,222000,3496.19057008019,333094.03957567,111094.03957567
"SPY",2011-10-31,105.672241,100.06969572,223000,3505.65379325533,370450.292503441,147450.292503441
"SPY",2011-11-30,105.242821,101.72320986,224000,3515.15562901475,369944.894651541,145944.894651541
"SPY",2011-12-30,106.34243,104.51200272,225000,3524.55921326611,374810.191417607,149810.191417607
"SPY",2012-01-31,111.27401,106.4463875,226000,3533.54603777257,393191.837142565,167191.837142565
"SPY",2012-02-29,116.103905,111.08724734,227000,3542.15901250413,411258.493482673,184258.493482673
"SPY",2012-03-30,119.838257,115.74802094,228000,3550.50359315002,425486.162075336,197486.162075336
"SPY",2012-04-30,119.038254,117.73262578,229000,3558.90425399977,423645.748549305,194645.748549305
"SPY",2012-05-31,111.88932,116.6719506,230000,3567.84165749815,399203.376925141,169203.376925141
"SPY",2012-06-29,116.429924,114.3793865,231000,3576.43051477509,416403.533026544,185403.533026544
"SPY",2012-07-31,117.80719,114.38945624,232000,3584.91896102357,422329.229175906,190329.229175906
"SPY",2012-08-31,120.758591,117.91260578,233000,3593.19994535536,433909.76258239,200909.76258239
"SPY",2012-09-28,123.819916,121.16016836,234000,3601.27619053711,445909.715405105,211909.715405105
"SPY",2012-10-31,121.566643,123.27976734,235000,3609.50213126659,438795.056999425,203795.056999425
"SPY",2012-11-30,122.254662,122.39007298,236000,3617.68177843621,442278.463046277,206278.463046277
"SPY",2012-12-31,123.346947,121.7646962,237000,3625.78899166135,447230.002587636,210230.002587636
"SPY",2013-01-31,129.661102,124.74538192,238000,3633.50140490307,471123.79627828,233123.79627828
"SPY",2013-02-28,131.315414,128.30516216,239000,3641.11665713842,478134.741254428,239134.741254428
"SPY",2013-03-28,136.30162,132.13697704,240000,3648.45332709143,497290.098976951,257290.098976951
"SPY",2013-04-30,138.920319,134.92248932,241000,3655.6516981231,507844.300056153,266844.300056153
"SPY",2013-05-31,142.200165,139.1934818,242000,3662.68403876771,520834.274655635,278834.274655635
"SPY",2013-06-28,140.302551,141.34584692,243000,3669.81149292213,514883.914146093,271883.914146093
"SPY",2013-07-31,147.553009,143.74168584,244000,3676.58871831913,542491.728243442,298491.728243442
"SPY",2013-08-30,143.127518,145.2498206,245000,3683.575494964,527221.017959819,282221.017959819
"SPY",2013-09-30,147.656982,147.19194918,246000,3690.34794816232,544905.640555541,298905.640555541
"SPY",2013-10-31,154.494461,148.8978335,247000,3696.82067212619,571138.317153794,324138.317153794
"SPY",2013-11-29,159.073349,153.12929988,248000,3703.10708029127,589065.644967544,341065.644967544
"SPY",2013-12-31,163.197601,157.50859522,249000,3709.23462134501,605338.191749649,356338.191749649
"SPY",2014-01-31,157.445129,159.8415334,250000,3715.58604044798,585000.923448932,335000.923448932
"SPY",2014-02-28,164.611374,160.82281884,251000,3721.66095480961,612627.723333362,361627.723333362
"SPY",2014-03-31,165.976974,162.3045468,252000,3727.68588691857,618710.02353325,366710.02353325
"SPY",2014-04-30,167.130768,164.90008028,253000,3733.66922566562,624011.005143461,371011.005143461
"SPY",2014-05-30,171.009186,166.3595465,254000,3739.51686475093,639491.735074329,385491.735074329
"SPY",2014-06-30,174.539703,169.91064782,255000,3745.24622020881,653694.162937119,398694.162937119
"SPY",2014-07-31,172.194305,173.87871972,256000,3751.05361320012,645910.069942733,389910.069942733
"SPY",2014-08-29,178.989639,175.33015224,257000,3756.64052876454,672399.732096335,415399.732096335
"SPY",2014-09-30,176.520325,176.55358218,258000,3762.30559877844,664123.407045689,406123.407045689
"SPY",2014-10-31,180.67746,176.07854528,259000,3767.84032347514,680763.819331067,421763.819331067
"SPY",2014-11-28,185.641068,177.90345616,260000,3773.2270625775,700465.901703391,440465.901703391
"SPY",2014-12-31,185.170166,182.65488158,261000,3778.62750057247,699689.081533169,438689.081533169
"SPY",2015-01-30,179.683716,183.83004368,262000,3784.19283516294,679957.830682653,417957.830682653
"SPY",2015-02-27,189.782761,185.08587038,263000,3789.4620176468,719174.564413641,456174.564413641
"SPY",2015-03-31,186.802124,186.85219882,264000,3794.81527583567,708879.553713748,444879.553713748
"SPY",2015-04-30,188.639069,188.82464022,265000,3800.11640462782,716850.420660618,451850.420660618
"SPY",2015-05-29,191.064285,189.88985048,266000,3805.35024516479,727066.523766984,461066.523766984
"SPY",2015-06-30,187.183365,190.80824036,267000,3810.69260023998,713298.26389352,446298.26389352
"SPY",2015-07-31,191.411682,190.60511934,268000,3815.91694177207,730411.080196888,462411.080196888
"SPY",2015-08-31,179.745117,188.40547916,269000,3821.48037524214,686892.437161103,417892.437161103
"SPY",2015-09-30,175.158752,183.03011446,270000,3827.18948191584,670365.733319906,400365.733319906
"SPY",2015-10-30,190.057693,180.7236731,271000,3832.45104215166,728386.80360679,457386.80360679
"SPY",2015-11-30,190.75235,185.68454038,272000,3837.69344152446,732049.042550378,460049.042550378
"SPY",2015-12-31,187.455719,189.3026367,273000,3843.02803470377,720397.583382552,447397.583382552
"SPY",2016-01-29,178.122925,184.17758662,274000,3848.64213519084,685531.394398437,411531.394398437
"SPY",2016-02-29,177.9758,178.42611538,275000,3854.26087661523,685965.162924297,410965.162924297
"SPY",2016-03-31,189.94751,179.90910124,276000,3859.52548892839,733107.25640348,457107.25640348
"SPY",2016-04-29,190.696152,187.44108246,277000,3864.769433232,736996.659284563,459996.659284563
"SPY",2016-05-31,193.940231,190.93200472,278000,3869.92566097723,750534.276642753,472534.276642753
